,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
395,2097548,0.33,False,Noord-West,52.40325,4.91954,Entire home/apt,4,2,4,6,150.0,3,21,True,0,0,4.89,False,37.5,450.0,0.07,0.25,0.25,4.99,0.03561643835616438,754.5205479452055
396,2116479,0.63,False,Westerpark,52.37957,4.86845,Entire home/apt,2,1,1,3,125.0,3,10,True,0,0,4.48,False,62.5,375.0,0.06,0.14,0.15,4.99,0.0,625.0
397,2116719,0.31000000000000005,False,Oud-Noord,52.39145,4.929,Entire home/apt,4,2,4,10,205.0,2,3,True,0,0,4.67,False,51.25,410.0,0.11,0.21,0.27,4.99,0.0,1096.6986301369864
398,2144304,0.8,False,Zuid,52.35289,4.87731,Entire home/apt,6,3,4,17,466.0,3,1125,True,0,0,4.890000000000001,True,77.67,1398.0,0.03,0.25,0.22,10.99,0.019178082191780823,2330.0
399,2144308,0.86,False,Noord-West,52.41278,4.91917,Entire home/apt,2,1,1,8,90.0,3,1125,True,0,0,4.84,True,45.0,270.0,0.06,0.13,0.16,4.99,0.0,451.64383561643837
404,2224903,0.67,False,Oud-Oost,52.35639,4.91596,Entire home/apt,4,2,4,9,225.0,3,3,True,0,1,4.13,False,56.25,675.0,0.08,0.14,0.25,4.99,0.4794520547945205,1105.4109589041095
406,2235708,0.6799999999999999,False,De Pijp - Rivierenbuurt,52.35442,4.89877,Entire home/apt,2,1,1,4,139.0,6,1124,True,0,0,4.81,False,69.5,834.0,0.07,0.12,0.21,4.99,0.024657534246575342,886.7808219178082
407,2255109,0.91,False,Oostelijk Havengebied - Indische Buurt,52.37156,4.9438,Entire home/apt,4,2,5,6,231.0,3,1125,True,0,0,4.75,False,57.75,693.0,0.11,0.27,0.23,4.99,0.01643835616438356,1180.5479452054794
409,2344785,1.0,True,De Baarsjes - Oud-West,52.3663,4.87769,Private room,4,1,2,7,240.0,3,1001,True,2,4,4.89,False,60.0,720.0,0.08,0.12,0.22,4.99,0.3698630136986301,1075.7808219178082
410,2368869,0.6,False,Centrum-West,52.38428,4.88636,Entire home/apt,4,2,2,4,250.0,3,30,True,0,0,4.82,True,62.5,750.0,0.11,0.26,0.25,4.99,0.010958904109589041,1311.6438356164383
411,2376883,0.0,False,Centrum-West,52.38351,4.88368,Private room,2,1,2,11,179.0,3,7,True,0,0,5.0,True,89.5,537.0,0.07,0.19,0.16,4.99,0.3041095890410959,906.3698630136986
412,2384332,0.64,False,Centrum-West,52.36693,4.88522,Entire home/apt,3,2,2,13,300.0,3,30,True,0,0,4.96,False,100.0,900.0,0.1,0.3,0.13,4.99,0.03287671232876712,1500.0
413,2388275,1.0,False,De Baarsjes - Oud-West,52.36556,4.85074,Entire home/apt,2,1,1,10,250.0,3,30,True,3,0,4.8,False,125.0,750.0,0.1,0.13,0.3,4.99,0.0273972602739726,1250.0
414,2400486,0.73,False,Slotervaart,52.35646,4.83178,Entire home/apt,2,1,1,4,130.0,4,7,True,0,2,4.89,False,65.0,520.0,0.09,0.16,0.2,4.99,0.4410958904109589,650.0
418,2435572,0.8799999999999999,True,Centrum-West,52.380775,4.888254,Private room,2,1,1,4,125.0,3,30,True,4,7,4.79,False,62.5,375.0,0.07,0.18,0.12,4.99,0.8657534246575342,518.4520547945206
